Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
HAZELINE Sữa Tắm Fragrance HươngSữaGạo HoaBưởi 800g (Cái),Chăm sóc cơ thể,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
HS tẩy canxi Hasu 500ml (Chai),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Hasu Giấy ăn 1000g (Gói),Chăm sóc cá nhân khác,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Hazeline gel rửa mặt tràm trà rau má 50g (Tuýp),Chăm sóc da mặt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Knorr gia vị hoàn chỉnh cá kho riềng 28g (Cái),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Kẹo Esprezzo Vanilla Coffee 150g (Gói),Kẹo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Kẹo dẻo Haribo Goldbears 80g (Gói),Kẹo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Kẹo dẻo Haribo Starmix 80g (Gói),Kẹo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Kẹo dẻo Haribo Worms 100g (Cái),Kẹo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Kẹo gum lotte Fusen no mi hương cam 14g (Hộp),Kẹo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Lá Kim cuốn cơm O\'Food 10g (Gói),"Mứt, thạch, rong biển",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Muối chấm hảo hảo tôm chua cay 120g (Lọ),Gia vị,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Mì hảo hảo handy tôm chua cay 67g (Cốc),Thực phẩm ăn liền,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Mật ong nghệ phấn hoa 280g (Lọ),Thức uống dinh dưỡng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Mật ong sữa chúa Hoa Bốn Mùa 230ml (Lọ),Thức uống dinh dưỡng,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
NG ZESTY clean hương oải hương túi 3.6kg (Túi),Vệ sinh nhà cửa,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nui cao cấp Meizan 200g (Túi),Thực phẩm ăn liền,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước 7 up Rivive 500ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước Tẩy Trắng Quần Áo Javel Sutiki 500ml (Cái),Giặt giũ và chăm sóc quần áo,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước chấm 3 miền cá cơm 800ml (Cái),"Nước chấm, mắm",Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước dừa cốt tắc VNM 330ml (Hộp),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước gạo buổi sáng Morning Rice 500ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
Nước hồng trà C2 vị đào chai 455ml (Chai),Nước ngọt,Pack Hierarchy,Pattern size/count: XXXg/YY (VD: 210g/12),
