Tên sản phẩm,Ngành hàng,Loại edge case,Mô tả,
LIPTON ICETEA CHANH_LY THUY TINH ONG HUT (Hộp),Trà,No Weight,Không có weight/volume trong tên,
LOTUS giấy rút cao cấp gói 300 tờ (Gói),"Giấy vệ sinh, khăn giấy",No Weight,Không có weight/volume trong tên,
LU Bánh Quy Bơ Thập Cẩm 180g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Lay\'s Tom Cang Dut Lo Pho Mai 32g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lay\'s Wavy vi Pho Mai Cheddar 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lay\'s Wavy vi Than Bo Nuong Texas 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lay\'s vi Khoai Tay Tu Nhien Classic 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lay\'s vi Suon Nuong BBQ Brazil 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lay\'s vi Tao Bien Nori 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Lotte Xyliton Strawberry mint vỷ 11.6g (Vỉ),Kẹo,No Weight,Không có weight/volume trong tên,
Lovenose xịt thơm hương oải hương (Lọ),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Lovenose xịt thơm phòng hương dâu 320ml (Chai),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Lăn ngăn mùi bloom năng động 50ml (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Lưới rửa bát (CÁI),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Lưới rửa bát (Cái),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Lưỡi dao nhỏ 2015 (Cái),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Lạc Nhân (Kg),Thực phẩm đóng hộp,No Weight,Không có weight/volume trong tên,
Lạp sưởng HN LC 500g (Gói),,No Weight,Không có weight/volume trong tên,
MONSTER GREEN SLEEK CAN SF trắng 355ml (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
MTV-FF-2661A Gà Chiên Popcorn 1KG (Gói),,No Weight,Không có weight/volume trong tên,
Mi Soda Kem PET 1.5L (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
Mirinda Cam chai nhựa 330ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Mirinda cam 300ml chai (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Miếng cọ rửa (Cái),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
MÌ LYĂN LIỀN- MÌ BÒ HẦM VỊ CAY (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
MÌ TÔ ĂN LIỀN- MÌ YEUL CAY (Tô),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
MÌ TÔ ĂN LIỀN-MÌ XỐT TƯƠNG ĐEN (Tô),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
MÌ YEUL CAY 5gói (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Màng bọc Duy Anh SG (HỘP),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Máy sấy tóc Philips 1000W (Cái),Sửa chữa nhà cửa,No Weight,Không có weight/volume trong tên,
Mì Ly ShinCup 68g (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mì Shin Ramyun 120g (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mì Siukay Hương Vị Hải Sản (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mì Tô Shin 114g (Bát),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mì cân lẩu và xào Việt Nam (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mũ ủ tóc khô Lensy (Cái),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Mật ong hoa rừng 375ml (Lọ),"Yến mạch, ngũ cốc dinh dưỡng",No Weight,Không có weight/volume trong tên,
"Mực Cán Tẩm Vị 0,25Kg (Hộp)","Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Mực cán tẩm Damex (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Mỳ trộn tương đen koreno chajang (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Mỳ xào hương vị bò bulgogi pho mai cay Koreno (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
NRC SUTIKI Hương quế 3.6KG (Can),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
NUTRIBOOST PET SF STRAWBERRY ENHANC Dâu 1L6 (Cái),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước Gạo Rang TH True Rice 300ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước chấm ngon Ông Tây 15 chai nhựa 900ml (Chai),"Nước chấm, mắm",No Weight,Không có weight/volume trong tên,
Nước giặt xả Zesty Clean Hương Huyền Bí 3.2Kg (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Nước giặt xả Zesty Clean Hương Ngàn Hoa 3.2Kg (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Nước giặt xả Zesty Clean Hương Đại Dương 3.2Kg (Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Nước giặt xả baby zesty 1KG (Chai),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Nước hoa mini (Lọ),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Nước hoa xịt phòng PureAir hương hoa hồng (Cái),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Nước khoáng Lavie 0.35L (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước khoáng Lavie 0.5L (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước khoáng Lavie 1.5L (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước tăng lực Redbull (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Nước xả Downy đam mê 2.5L(Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
Nước xả Downy nắng mai crown 2.6L(Túi),Giặt giũ và chăm sóc quần áo,No Weight,Không có weight/volume trong tên,
OREO BANH QUY SOCOLA 64.4g (Thỏi),Bánh,No Weight,Không có weight/volume trong tên,
OREO BANH QUY VANI 64.4g (Thỏi),Bánh,No Weight,Không có weight/volume trong tên,
OST Bánh Ostar TựNhiên 35g (Gói),Bánh,No Weight,Không có weight/volume trong tên,
Oreo Vanilla Activation 110.4g (Cái),Bánh,No Weight,Không có weight/volume trong tên,
P/S BC Bảo Vệ 123  (Cây),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
P/S BC Muối Hồng (Cái),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
P/S BC Trẻ Em Từ 7 Tuổi (Vỉ),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
P/S BCĐR Than Bạc  (Cây),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Pate cô Kim Loan (Hộp),Thực phẩm chế biến sẵn,No Weight,Không có weight/volume trong tên,
Pepsi Black Chanh Lon 320ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Pepsi Chai nhựa 1500ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Pepsi Lon 235ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Pepsi Lon 320ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Pho mai que Era  14c (Hộp),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Phomai Mozza bào kg (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Phong bì Keo dán sẵn (TẬP),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Phong bì loại ít (Túi),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Pin Panasonic 2A vỉ 4 viên (Vỉ),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Pin Panasonic R6DT/4S-AA (Vỉ),Chăm sóc nhà cửa khác,No Weight,Không có weight/volume trong tên,
Pin Panasonic hyper LP (ĐÔI),Chăm sóc nhà cửa khác,No Weight,Không có weight/volume trong tên,
Pin con thỏ vỉ AA 4 viên (Vỉ),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Poca Banh Phong Tom 29g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca Dau phong da ca Nuoc cot dua 28g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca Snack Hinh Cua vi Tao Bien Nori 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca Snack Hinh Cua vi Thit Nuong BBQ 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca vi Bo Luc Lac Promo 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca vi Ga Quay Da Gion Promo 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Poca vi Muc Cay Dac Biet Promo 30g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Rổ hoa quả ovan 1066CC (Cái),Hàng Khuyến Mãi,No Weight,Không có weight/volume trong tên,
Rổ trái cây viola (Cái),Hàng Khuyến Mãi,No Weight,Không có weight/volume trong tên,
SHIKA BÁNH MÌ TƯƠI KEM SỮA CHUA (Gói),,No Weight,Không có weight/volume trong tên,
SLIDE-CHEESE 145g (Cái),Bánh,No Weight,Không có weight/volume trong tên,
SON NIVEA DUONG AM 4.8g (Thỏi),Mỹ phẩm và dụng cụ làm đẹp,No Weight,Không có weight/volume trong tên,
SRM NIVEA MEN EXT.BRIGHT MUD 100g (Tuýp),Chăm sóc da mặt,No Weight,Không có weight/volume trong tên,
STC Dâu Mistori 110ml (hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
STTT Có đường TH True Milk 1L (Hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
STTT Nguyên chất TH True Milk 1L (Hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
STTT Ít đường TH True Milk 1L  (Hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
SUTIKI NRC hương trà xanh túi 2.8Kg (Túi),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Sauce xá xíu gói 70ml (Cái),Gia vị,No Weight,Không có weight/volume trong tên,
Set cơm lam thịt gác bếp (Set),Thực phẩm chế biến sẵn,No Weight,Không có weight/volume trong tên,
Slide Original 90g (Cái),Bánh,No Weight,Không có weight/volume trong tên,
Snack Lays Stax Khoai Tay Nuong vi Kem Chua va Hanh Tay 100g (Ống),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Snack Lays Stax Khoai Tay Nuong vi Muc Sot Cay 100g (Ống),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Snack Lays Stax Khoai Tay Nuong vi Tom Hum Nuong ngũ vị 100g (Ống),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Snack Lays Stax Khoai Tay Nuong vi Tu Nhien 100g (Ống),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Snack mái tôn (Gói),,No Weight,Không có weight/volume trong tên,
Snack sò hành (Gói),,No Weight,Không có weight/volume trong tên,
St bloom xecxy (đỏ) (Chai),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Sting Dâu tây đỏ Chai nhựa 330ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Sting Vàng Chai nhựa 330ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Sài gòn dưa lưới (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Sài gòn đào (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Sáp thơm AMBI  Hoa Hồng 180g (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Sáp thơm AMBI  Oải Hương 180g (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Sáp thơm AMBI  Thư giãn 180g (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Sáp thơm Ambi  huyền bí 180g (Hộp),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Sốt me chua ngọt (Cái),Gia vị,No Weight,Không có weight/volume trong tên,
Sốt Ướp Thịt BBQ (Cái),Gia vị,No Weight,Không có weight/volume trong tên,
Sữa Nan Nga số 2 800g (Lon),Sữa bột,No Weight,Không có weight/volume trong tên,
Sữa hạnh nhân TH True NUT 180ml (Hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
Sữa tươi KĐ VNM 1L (Hộp),Sữa nước các loại,No Weight,Không có weight/volume trong tên,
TRÀ TẮC TỰ NHIÊN THTRUETEA 350ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Tea+ Trà Ô Long Chai nhựa 450ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Tea+ Trà Ô Long Chanh Chai nhựa 450ml (Chai),Nước ngọt,No Weight,Không có weight/volume trong tên,
Thau Hasu 5.6 Tấc (Cái),Hàng Khuyến Mãi,No Weight,Không có weight/volume trong tên,
Thau hasu 3.2 Tấc (Cái),Hàng Khuyến Mãi,No Weight,Không có weight/volume trong tên,
Thuốc Sài Gòn bấm xoài (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá 3 số (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Camel bấm TRà đen (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Camel xanh vị dưa hấu 1 bấm (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Camel điếu nhỏ (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Kent (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Marlboro trắng (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Ngựa trắng (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Sài Gòn bạc hà xanh (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Sài Gòn bạc trắng (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Thăng Long Mềm (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Thăng Long bao cứng (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Thăng Long bao dẹt (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thuốc lá Vinataba (Bao),Gây Hại Sức Khỏe,No Weight,Không có weight/volume trong tên,
Thước kẻ màu cực quang 30cm  (Chiếc),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
Thạch sữa chua natty túi 432g (Gói),"Mứt, thạch, rong biển",No Weight,Không có weight/volume trong tên,
Thịt chưng mắm tép (Hộp),Thực phẩm chế biến sẵn,No Weight,Không có weight/volume trong tên,
Thịt khô bò miếng BMM 170g (Hộp),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
Tipo Cracker Rau Củ Chà Bông 265g (Hộp),Bánh,No Weight,Không có weight/volume trong tên,
Tiêu (Kg),Gia vị,No Weight,Không có weight/volume trong tên,
Tiêu lọ (Lọ),Gia vị,No Weight,Không có weight/volume trong tên,
Trà Cozy Nhúng Dâu (Hộp),Trà,No Weight,Không có weight/volume trong tên,
Trứng gà 10 quả (Quả),Trứng,No Weight,Không có weight/volume trong tên,
Trứng gà ăn liền Devi túi 10 quả - vị Cay (Quả),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Trứng gà ăn liền Devi túi 10 quả - vị Thường (Quả),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Trứng gà ăn liền Devi vị xì dầu túi 10 quả (Quả),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
Trứng vịt 10 quả (Quả),Trứng,No Weight,Không có weight/volume trong tên,
Twister Cam Lon 320ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
Táo Đỏ Thủy Tinh Bé (Lọ),"Hạt, trái cây sấy",No Weight,Không có weight/volume trong tên,
Tô giấy có nắp (Cái),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Túi Zipper người lớn 200 que (Túi),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Túi rác Family Deli (Bịch),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Tăm chỉ nha khoa NAVI hộp 50 (Hộp),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Tăm chỉ nha khoa NaVi túi 80 (Gói),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Tăm cục tròn (Cuộn),Chăm sóc răng miệng,No Weight,Không có weight/volume trong tên,
Tăm vip Á Đông (Gói),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
"Tương ớt pet 2,1 Kg (Chai)",Gia vị,No Weight,Không có weight/volume trong tên,
Tẩy màu hình kem 71122 (Chiếc),Văn phòng phẩm,No Weight,Không có weight/volume trong tên,
V10516 Mì Bò Hầm Lốc 8 (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
V10523 Mì Ly Ăn Liền -Mì Xốt Tương Đen (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
V10529 MÌ LY ĂN LIỀN- MÌ YEUL CAY (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
V10531 MÌ LY ĂN LIỀN- MÌ KIM CHI (Ly),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
V10593 Mini Mì Trộn Phô Mai 75g (Gói),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
V10623 MÌ TÔ ĂN LIỀN - MÌ JIN CAY (Bát),Thực phẩm ăn liền,No Weight,Không có weight/volume trong tên,
VI CAN VANG+XANH FLEXI (12X1X24) (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Viên Thả Lẩu Trộn Vị (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Vỉ 4 xe ô tô 3619 (Vỉ),Đồ chơi,No Weight,Không có weight/volume trong tên,
XOÀI SẤY MUỐI ỚT KIM BẢO 200g (Gói),"Snack, đồ ăn vặt",No Weight,Không có weight/volume trong tên,
XX bi 500g (Gói),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Xe cẩu đại 81cái (Cái),Đồ chơi,No Weight,Không có weight/volume trong tên,
Xe Ủi đại 72cái (Cái),Đồ chơi,No Weight,Không có weight/volume trong tên,
XÀ BÔNG BLOOM NĂNG ĐỘNG (Cái),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Xúc xích lốc xoáy 500g (Gói),,No Weight,Không có weight/volume trong tên,
"Yến Nuvi chưng sâm ngọc linh, HỘP QUÀ 150ml (Cái)",Thức uống dinh dưỡng,No Weight,Không có weight/volume trong tên,
"Yến Nuvi chưng đông trùng, HỘP QUÀ 150ml (Cái)",Thức uống dinh dưỡng,No Weight,Không có weight/volume trong tên,
"Yến Nuvi chưng đông trùng, hũ 150ml (Cái)",Thức uống dinh dưỡng,No Weight,Không có weight/volume trong tên,
"Yến Nuvi chưng đường phèn, HỘP QUÀ 70ml (Cái)",Thức uống dinh dưỡng,No Weight,Không có weight/volume trong tên,
Yến mạch tròn Sữa Túi 250g (Túi),Bánh,No Weight,Không có weight/volume trong tên,
Yến sào collagen (Lốc),Thức uống dinh dưỡng,No Weight,Không có weight/volume trong tên,
ZESTY NG hương ngàn hoa can tím 5L (Can),Vệ sinh nhà cửa,No Weight,Không có weight/volume trong tên,
Bò kho xốt vang (Cái),Gia vị,No Weight,Không có weight/volume trong tên,
Bộ bài (Bộ),Đồ chơi,No Weight,Không có weight/volume trong tên,
Gà ác tiềm thuốc bắc (Set),Thực phẩm chế biến sẵn,No Weight,Không có weight/volume trong tên,
Hoa ngọc lan bột mỳ cao cấp (Cái),Gia vị,No Weight,Không có weight/volume trong tên,
Nhíp vàng (Cái),Mỹ phẩm và dụng cụ làm đẹp,No Weight,Không có weight/volume trong tên,
Pin panasonic AAA (Viên),Chăm sóc nhà cửa khác,No Weight,Không có weight/volume trong tên,
Viên thả lẩu trứng tôm (Túi),Thực phẩm đông lạnh,No Weight,Không có weight/volume trong tên,
Áo mưa Ngọc Ánh trong suốt (CÁI),Chăm sóc cơ thể,No Weight,Không có weight/volume trong tên,
Áo mưa siêu bền (Bộ),Chăm sóc cá nhân khác,No Weight,Không có weight/volume trong tên,
Điều tinh tuyển thủy tinh bé (Lọ),"Yến mạch, ngũ cốc dinh dưỡng",No Weight,Không có weight/volume trong tên,
Điện thoại pikachu (Cái),Đồ chơi,No Weight,Không có weight/volume trong tên,
"Đũa kèm tăm, giấy (Gói)",Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
Đường Kinh trắng 1Kg (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Đồ uống COKE 320ml (Lon),Nước ngọt,No Weight,Không có weight/volume trong tên,
đường phèn nguyên chất lam sơn (Gói),Gia vị,No Weight,Không có weight/volume trong tên,
Ống hút màu (Túi),Dụng cụ phòng ăn và nhà bếp,No Weight,Không có weight/volume trong tên,
AL Eclairs 63.7g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
AL Jelly Biển xanh 24g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
AL Jelly Tim đào 24g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
AL Kẹo Mềm Caramel và Sữa 206.5g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
AL Kẹo dẻo Tim Nho 24g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
AMBI Xịt phòng hương chanh chai 300ml (Chai),Vệ sinh nhà cửa,Standard,"Standard - weight đơn giản 500g, 200ml...",
ANDY Kẹo dẻo bắp nhân chảy to 900g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
Ajinomoto 2kg (Gói),Gia vị,Standard,"Standard - weight đơn giản 500g, 200ml...",
Ambi Sáp thơm hương chanh 180g (Hộp),Vệ sinh nhà cửa,Standard,"Standard - weight đơn giản 500g, 200ml...",
Andy Kẹo Xoài Chín bóc vỏ gói 400g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
Andy Kẹo dẻo xoài Chín cốt trái cây bóc vỏ 270g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
BIMUNICA sản phẩm tắm gội cho gia đình 500ml (Chai),Chăm sóc cá nhân khác,Standard,"Standard - weight đơn giản 500g, 200ml...",
Ba chỉ bò cuộn khay đen 500g (Khay),Thực phẩm đông lạnh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Ba Đình Kẹo S.C nhân trái cây kingfruits 800g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
Belgi Bánh Trứng sữa (KM 4 chiếc X20 túi) 250g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia 333 lon 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia Hà Nội Lon 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia K Blanc lon 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia Tiger xanh lon bạc Crystal lon cao 330ml (Cái),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia lon Budweiser 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia lon Saigon Lager 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bia lon Trúc Bạch Sleek 330ml (Lon),Bia,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bim bim Swing bò nướng tiêu đen 30g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bim bim tăm cay lạc hồng vr2 25g (Gói),"Snack, đồ ăn vặt",Standard,"Standard - weight đơn giản 500g, 200ml...",
BÁNH TIPO KEM XỐP PHÔ MAI 300g (Hộp),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh BELGI trứng sữa mềm cốm dừa túi 230g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Belgi TS mềm socola 230g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Belgi TS mềm socola 230g (Túi),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Belgi Vegetable and Cheese 278g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Belgi trứng sữa mềm vị cốm dừa 230g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Creaker Popi 270g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Custas cốm 276g (Hộp),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Danisa 200g (Hộp),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Gạo Topokki Vị Cay ngọt 140g (Cái),Thực phẩm ăn liền,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Gạo Topokki Vị Phomai 120g (Cái),Thực phẩm ăn liền,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Hạt Hình Thuyền 320g (Gói),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Kenju Kem dẻo 186g (Túi),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Kenju vị tôm 192g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Khọt 270g (Gói),,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Kita Cake kem bơ sữa 168g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Lotte Chocolat 169.8g (Hộp),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Merry kem quế vị vani lon 200g (Hộp),Kẹo,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Nice hộp 264g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Nice túi Vani 200g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Pháp Challot HH túi 260g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Pháp Challot HH túi 260g (Gói),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Sweetpie hộp âm dương 440g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh TayoDip-Mayo 45g (Gói),"Snack, đồ ăn vặt",Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Toonies Choco 32g (Gói),"Snack, đồ ăn vặt",Standard,"Standard - weight đơn giản 500g, 200ml...",
Bánh Xốp Nabati vị phô mai 110g (Cái),Bánh,Standard,"Standard - weight đơn giản 500g, 200ml...",
