original_name,clean_name,weight,unit,packaging_type
Kun sữa chua uống lên men hương cam 110ml (Hộp),Kun sữa chua uống lên men hương cam,110.0,ml,Hộp
STTT ít đường Vinamilk 180ml (Hộp),STTT ít đường Vinamilk,180.0,ml,Hộp
Sữa bắp non LOF 180ml (Hộp),Sữa bắp non LOF,180.0,ml,Hộp
Sữa chua uống Kun hương táo xoài chai 85ml (Hộp),Sữa chua uống Kun hương táo xoài chai,85.0,ml,Hộp
Sữa trái cây Lif Kun hương nho 180ml (Hộp),Sữa trái cây Lif Kun hương nho,180.0,ml,Hộp
P/S KĐR Trắng Răng Than Hoạt Tính & Tre 180g (Tuýp),P/S KĐR Trắng Răng Than Hoạt Tính & Tre,180.0,g,Tuýp
BÁNH C-PIE 12P LESSSYGAR_7Y25 (Hộp),BÁNH C-PIE 12P LESSSYGAR_7Y25,,,Hộp
Bánh Custas 06P (Hộp),Bánh Custas 06P,,,Hộp
Bánh Custas 12P (Hộp),Bánh Custas 12P,,,Hộp
Bánh Custas  LessSugar 12P (Hộp),Bánh Custas LessSugar 12P,,,Hộp
Bánh Goute 4P (Hộp),Bánh Goute 4P,,,Hộp
Bánh Goute Cre Đậu Phộng 16P (Hộp),Bánh Goute Cre Đậu Phộng 16P,,,Hộp
Bánh Ăn Sáng CEST 8P (Gói),Bánh Ăn Sáng CEST 8P,,,Gói
Bánh ĂnSáng Gà CEST 5P (Gói),Bánh ĂnSáng Gà CEST 5P,,,Gói
BánhĂnSángCEST SW PM 6P (Gói),BánhĂnSángCEST SW PM 6P,,,Gói
Hộp Quà Tặng OPERA 16P (Hộp),Hộp Quà Tặng OPERA 16P,,,Hộp
Sting Hương vị Việt Quất Lon 320ml (Lon),Sting Hương vị Việt Quất Lon,320.0,ml,Lon
Găng tay THSH GREEN ECO (size XL)  (Hộp),Găng tay THSH GREEN ECO (size XL),,,Hộp
Găng tay TPE STAHAUS (size M) (HỘP),Găng tay TPE STAHAUS (size M),,,HỘP
Đùi tỏi rán K&U-L  (Gói),Đùi tỏi rán K&U-L,,,Gói
A3 BG gói 3KG (Gói),A3 BG gói,3.0,kg,Gói
A3 BG gói 4.2KG (Gói),A3 BG gói,4.2,kg,Gói
A3 BG gói 5.5KG (Gói),A3 BG gói,5.5,kg,Gói
AFC LUA MI 172g (Hộp),AFC LUA MI,172.0,g,Hộp
AFC RAU 172g (Hộp),AFC RAU,172.0,g,Hộp
AMBI Xịt phòng hương hoa tươi mát chai 300ml (Chai),AMBI Xịt phòng hương hoa tươi mát chai,300.0,ml,Chai
AMBI sáp thơm Hương DNY đam mê lọ 180g (Lọ),AMBI sáp thơm Hương DNY đam mê lọ,180.0,g,Lọ
ARIEL T SEN NHAI CN 3.05Kg (Túi),ARIEL T SEN NHAI CN,3.05,kg,Túi
Aji Tẩm bột khô chiên giòn (Túi),Aji Tẩm bột khô chiên giòn,,,Túi
Aquafina Chai nhựa 1500ml (Chai),Aquafina Chai nhựa,1500.0,ml,Chai
Aquafina Chai nhựa 5000ml(Can),Aquafina Chai nhựa,5000.0,ml,Can
Aquafina Chai nhựa 500ml (Chai),Aquafina Chai nhựa,500.0,ml,Chai
Aquafina chai nhựa 355ml (Chai),Aquafina chai nhựa,355.0,ml,Chai
Ariel BG hương downy đam mê 3.6 Kg (Gói),Ariel BG hương downy đam mê,3.6,kg,Gói
Ariel BG hương nắng mai 4.0 Kg (Gói),Ariel BG hương nắng mai,4.0,kg,Gói
Ariel BG hương nắng mai 5.2 kg (Gói),Ariel BG hương nắng mai,5.2,kg,Gói
BVS Diana ST Cool Fresh SM K.Cánh (Cái),BVS Diana ST Cool Fresh SM K.Cánh,,,Cái
BVS Glee combo ngày đêm 20M (Gói),BVS Glee combo ngày đêm 20M,,,Gói
BVS SS Than hoạt tính SMC 8miếng (Cái),BVS SS Than hoạt tính SMC 8miếng,,,Cái
Bia Tiger Crystal SLK Ctn 330ml (Lon),Bia Tiger Crystal SLK Ctn,330.0,ml,Lon
Bia Tuborg lon 330ml (Lon),Bia Tuborg lon,330.0,ml,Lon
"Bim Bim Que Tăm Đậu 0,35Kg (Gói)",Bim Bim Que Tăm Đậu,0.35,kg,Gói
Boss cà Phê sữa Lon 235ml (Lon),Boss cà Phê sữa Lon,235.0,ml,Lon
Bvs LAU đêm 35cm (Gói),Bvs LAU đêm 35cm,,,Gói
BÁNH CHOCOPIE 36.3G*12P (Hộp),BÁNH CHOCOPIE *12P,36.3,g,Hộp
BÁNH CHOCOPIE 36.3G*6P (Hộp),BÁNH CHOCOPIE *6P,36.3,g,Hộp
BÁNH CHẢ LÁ CHANH KIM BẢO 300g (Gói),BÁNH CHẢ LÁ CHANH KIM BẢO,300.0,g,Gói
BÁNH GATO (Gói),BÁNH GATO,,,Gói
BÁNH GẠO POCA LÀNG GẠO VỊ PHÔ MAI 108g (Gói),BÁNH GẠO POCA LÀNG GẠO VỊ PHÔ MAI,108.0,g,Gói
BÁNH NHÃN - GIÒN  (Gói),BÁNH NHÃN - GIÒN,,,Gói
BÁNH TRỨNG HỘP GIẤY TIPO 39g (Hộp),BÁNH TRỨNG HỘP GIẤY TIPO,39.0,g,Hộp
Bài rồng (Bộ),Bài rồng,,,Bộ
Bàn chải Lipzo Ruby sensi (Cái),Bàn chải Lipzo Ruby sensi,,,Cái
Bàn chải Lipzo áo dài (Cái),Bàn chải Lipzo áo dài,,,Cái
Bàn chải cao cấp Max X (Cái),Bàn chải cao cấp Max X,,,Cái
Bàn chải cao cấp Ruby Pro (Cái),Bàn chải cao cấp Ruby Pro,,,Cái
Bàn chải cao cấp Áo dài Pro (Cái),Bàn chải cao cấp Áo dài Pro,,,Cái
Bàn chải giặt (Cái),Bàn chải giặt,,,Cái
Bánh Bống Bang Choco 5P (Gói),Bánh Bống Bang Choco 5P,,,Gói
Bánh Bống Bang Choco 8P (Hộp),Bánh Bống Bang Choco 8P,,,Hộp
Bánh CChip BƠ 35g (Gói),Bánh CChip BƠ,35.0,g,Gói
Bánh CChip CAY 35g (Gói),Bánh CChip CAY,35.0,g,Gói
Bánh Chocopie 2p (Hộp),Bánh Chocopie 2p,,,Hộp
Bánh GaBT MBCraft 35g (Gói),Bánh GaBT MBCraft,35.0,g,Gói
Bánh Goute 15P (Hộp),Bánh Goute 15P,,,Hộp
Bánh Gạo An BBQ 14P (Gói),Bánh Gạo An BBQ 14P,,,Gói
Bánh Gạo An Vừng 12P (Gói),Bánh Gạo An Vừng 12P,,,Gói
Bánh Gạo An-Chà Bông 14P (Gói),Bánh Gạo An-Chà Bông 14P,,,Gói
Bánh Gạo An-Tảo 22P (Gói),Bánh Gạo An-Tảo 22P,,,Gói
Bánh Gạo An-Tự Nhiên 21P (Gói),Bánh Gạo An-Tự Nhiên 21P,,,Gói
Bánh Hura Deli Hương cốm dừa Bibica (Hộp),Bánh Hura Deli Hương cốm dừa Bibica,,,Hộp
Bánh MBoyTôm 35g (Hộp),Bánh MBoyTôm,35.0,g,Hộp
Bánh MBoyTảo 35g (Hộp),Bánh MBoyTảo,35.0,g,Hộp
Bánh Mandu thịt bằm KK 350g (Gói),Bánh Mandu thịt bằm KK,350.0,g,Gói
Bánh OStar Tảo 55g (Gói),Bánh OStar Tảo,55.0,g,Gói
Bánh OStar Tự Nhiên_55g (Gói),Bánh OStar Tự Nhiên_,55.0,g,Gói
Bánh OSxSW2MIXPIZZA 30g (Gói),Bánh OSxSW2MIXPIZZA,30.0,g,Gói
Bánh Snack V/UA Size (Gói),Bánh Snack V/UA Size,,,Gói
Bánh Swing Bò 33g (Gói),Bánh Swing Bò,33.0,g,Gói
Bánh Swing Bò 55g (Gói),Bánh Swing Bò,55.0,g,Gói
Bánh TAYOX TrMuối 28g (Gói),Bánh TAYOX TrMuối,28.0,g,Gói
Bánh TAYOX Tảo Ngọt 28g (Gói),Bánh TAYOX Tảo Ngọt,28.0,g,Gói
Bánh TNS_CAYMXC 32g (Gói),Bánh TNS_CAYMXC,32.0,g,Gói
Bánh TNS_PM 32 (Gói),Bánh TNS_PM 32,,,Gói
Bánh gạo An CốmFest 12P (Gói),Bánh gạo An CốmFest 12P,,,Gói
Bánh gạo An-Ngô 16P (Gói),Bánh gạo An-Ngô 16P,,,Gói
Bánh gạo sữa vị phô mai 240g (Gói),Bánh gạo sữa vị phô mai,240.0,g,Gói
